year,code,amount,name,topname,depname,depcat,cat,ref
2014,3202010100,854011000,無細項,總統府主管,總統府,一般行政,國務支出,1.1.1
2014,3202010200,30000000,無細項,總統府主管,總統府,國務機要,國務支出,1.1.2
2014,3202010300,15387000,無細項,總統府主管,總統府,國家慶典,國務支出,1.1.3
2014,3202010400,10495000,國家發展研究及諮詢,總統府主管,總統府,研究發展,國務支出,1.1.4.1
2014,3202010500,12722000,無細項,總統府主管,總統府,新聞發布,國務支出,1.1.5
2014,3202010600,19240000,無細項,總統府主管,總統府,卸任禮遇,國務支出,1.1.6
2014,3202010800,16397000,無細項,總統府主管,總統府,公報編印及印信勳章鑄造,國務支出,1.1.7
2014,3202019000,0,交通及運輸設備,總統府主管,總統府,一般建築及設備,國務支出,1.1.8.1
2014,3202019800,2073000,無細項,總統府主管,總統府,第一預備金,國務支出,1.1.9
2014,3202100100,184319000,無細項,總統府主管,國家安全會議,一般行政,國務支出,1.2.1
2014,3202102000,20916000,無細項,總統府主管,國家安全會議,諮詢研究業務,國務支出,1.2.2
2014,3202109000,2043000,交通及運輸設備,總統府主管,國家安全會議,一般建築及設備,國務支出,1.2.3.1
2014,3202109800,500000,無細項,總統府主管,國家安全會議,第一預備金,國務支出,1.2.4
2014,5302300100,182262000,無細項,總統府主管,國史館,一般行政,文化支出,1.3.1
2014,5302301000,7841000,史料採集,總統府主管,國史館,史料採集與典藏,文化支出,1.3.2.1
2014,5302302000,9073000,無細項,總統府主管,國史館,國史編纂,文化支出,1.3.3
2014,5302309800,340000,無細項,總統府主管,國史館,第一預備金,文化支出,1.3.4
2014,5302313000,104840000,無細項,總統府主管,國史館臺灣文獻館,一般行政,文化支出,1.4.1
2014,5302314000,6820000,採集文獻暨文物大樓營運,總統府主管,國史館臺灣文獻館,文獻業務,文化支出,1.4.2.1
2014,5202400100,429247000,無細項,總統府主管,中央研究院,一般行政,科學支出,1.5.1
2014,5202401000,3010180000,學術審議及研究獎助,總統府主管,中央研究院,一般學術研究及評議,科學支出,1.5.2.1
2014,5202402000,1790513000,數理科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,1.5.3.1
2014,5202403000,3676000000,無細項,總統府主管,中央研究院,國家生技研究園區,科學支出,1.5.4
2014,5202409000,0,土地購置,總統府主管,中央研究院,一般建築及設備,科學支出,1.5.5.1
2014,5202409800,5410000,無細項,總統府主管,中央研究院,第一預備金,科學支出,1.5.6
2014,3303010100,914844000,無細項,行政院主管,行政院,一般行政,行政支出,2.1.1
2014,3303010700,12966000,無細項,行政院主管,行政院,施政及法制業務,行政支出,2.1.2
2014,3303011100,6750000,無細項,行政院主管,行政院,施政推展聯繫,行政支出,2.1.3
2014,3303011500,41755000,無細項,行政院主管,行政院,科技發展研究諮詢,行政支出,2.1.4
2014,3303011600,41594000,無細項,行政院主管,行政院,聯合服務業務,行政支出,2.1.5
2014,3303011800,5000000,無細項,行政院主管,行政院,國土安全規劃,行政支出,2.1.6
2014,3303011900,8522000,無細項,行政院主管,行政院,災害防救業務,行政支出,2.1.7
2014,3303012000,17347000,無細項,行政院主管,行政院,性別平等業務,行政支出,2.1.8
2014,3303012100,3145000,無細項,行政院主管,行政院,資通安全業務,行政支出,2.1.9
2014,3303012200,14325000,無細項,行政院主管,行政院,消費者保護業務,行政支出,2.1.10
2014,3303012300,69365000,無細項,行政院主管,行政院,資訊管理,行政支出,2.1.11
2014,3303012400,68924000,無細項,行政院主管,行政院,新聞傳播業務,行政支出,2.1.12
2014,3303019000,10544000,營建工程,行政院主管,行政院,一般建築及設備,行政支出,2.1.13.1
2014,3303019800,3700000,無細項,行政院主管,行政院,第一預備金,行政支出,2.1.14
2014,3303100100,812222000,無細項,行政院主管,主計總處,一般行政,行政支出,2.2.1
2014,3303101000,4135000,無細項,行政院主管,主計總處,中央總預算核編及執行,行政支出,2.2.2
2014,3303101100,1990000,無細項,行政院主管,主計總處,特種基金預算核編及執行,行政支出,2.2.3
2014,3303101200,2695000,無細項,行政院主管,主計總處,會計及決算業務,行政支出,2.2.4
2014,3303101300,34100000,無細項,行政院主管,主計總處,綜合統計業務,行政支出,2.2.5
2014,3303101400,75125000,無細項,行政院主管,主計總處,國勢普查業務,行政支出,2.2.6
2014,3303101500,14873000,無細項,行政院主管,主計總處,主計訓練業務,行政支出,2.2.7
2014,3303101600,40925000,無細項,行政院主管,主計總處,主計資訊業務,行政支出,2.2.8
2014,3303109000,10500000,營建工程,行政院主管,主計總處,一般建築及設備,行政支出,2.2.9.1
2014,3303109800,1850000,無細項,行政院主管,主計總處,第一預備金,行政支出,2.2.10
2014,3303300100,355524000,無細項,行政院主管,人事行政總處,一般行政,行政支出,2.3.1
2014,3303300200,5344000,人事行政綜合規劃,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.1
2014,3303309800,2000000,無細項,行政院主管,人事行政總處,第一預備金,行政支出,2.3.3
2014,7503303400,20328000,無細項,行政院主管,人事行政總處,第一屆資深中央民代自願退職給付,退休撫卹給付支出,2.3.4
2014,7503303600,9461000,無細項,行政院主管,人事行政總處,因公殘廢死亡慰問給付,退休撫卹給付支出,2.3.5
2014,7503304300,20000000,無細項,行政院主管,人事行政總處,公教員工資遣退職給付,退休撫卹給付支出,2.3.6
2014,8903304500,1970000000,無細項,行政院主管,人事行政總處,公教人員婚喪生育及子女教育補助,其他支出,2.3.7
2014,3303310100,57779000,無細項,行政院主管,公務人力發展中心,一般行政,行政支出,2.4.1
2014,3303311000,66597000,無細項,行政院主管,公務人力發展中心,訓練輔導及研究,行政支出,2.4.2
2014,3303319800,600000,無細項,行政院主管,公務人力發展中心,第一預備金,行政支出,2.4.3
2014,3303330100,86998000,無細項,行政院主管,地方行政研習中心,一般行政,行政支出,2.5.1
2014,3303330200,38561000,無細項,行政院主管,地方行政研習中心,地方公務人員訓練,行政支出,2.5.2
2014,3303339000,5400000,營建工程,行政院主管,地方行政研習中心,一般建築及設備,行政支出,2.5.3.1
2014,3303339800,600000,無細項,行政院主管,地方行政研習中心,第一預備金,行政支出,2.5.4
2014,5303400100,543441000,無細項,行政院主管,國立故宮博物院,一般行政,文化支出,2.6.1
2014,5303400200,14355000,器物管理研究及展覽,行政院主管,國立故宮博物院,文物管理及展覽,文化支出,2.6.2.1
2014,5303400300,22344000,無細項,行政院主管,國立故宮博物院,文物登錄與科技研析,文化支出,2.6.3
2014,5303400400,4910000,無細項,行政院主管,國立故宮博物院,文物加值運用與管理,文化支出,2.6.4
2014,5303400500,27607000,無細項,行政院主管,國立故宮博物院,資訊管理維護,文化支出,2.6.5
2014,5303400600,32090000,無細項,行政院主管,國立故宮博物院,安全管理維護,文化支出,2.6.6
2014,5303400700,1632200000,無細項,行政院主管,國立故宮博物院,故宮南部院區籌建,文化支出,2.6.7
2014,5303409000,60600000,營建工程,行政院主管,國立故宮博物院,一般建築及設備,文化支出,2.6.8.1
2014,5303409800,4000000,無細項,行政院主管,國立故宮博物院,第一預備金,文化支出,2.6.9
2014,6103500100,471565000,無細項,行政院主管,經濟建設委員會,一般行政,其他經濟服務支出,2.7.1
2014,6103501000,17327000,研擬國家發展計畫,行政院主管,經濟建設委員會,經建計畫之設計、研審及協調,其他經濟服務支出,2.7.2.1
2014,6103501100,2739000,強化國家建設財務規劃審議及有效運用國家資金,行政院主管,經濟建設委員會,經建計畫之評估及考核,其他經濟服務支出,2.7.3.1
2014,6103508100,2500000000,花東地區永續發展基金,行政院主管,經濟建設委員會,非營業特種基金,其他經濟服務支出,2.7.4.1
2014,6103509000,1210000,交通及運輸設備,行政院主管,經濟建設委員會,一般建築及設備,其他經濟服務支出,2.7.5.1
2014,6103509800,900000,無細項,行政院主管,經濟建設委員會,第一預備金,其他經濟服務支出,2.7.6
2014,3803640100,144528000,無細項,行政院主管,客家委員會及所屬,一般行政,民政支出,2.8.1
2014,3803641000,120776000,無細項,行政院主管,客家委員會及所屬,綜合規劃發展,民政支出,2.8.2
2014,3803649800,2000000,無細項,行政院主管,客家委員會及所屬,第一預備金,民政支出,2.8.3
2014,5303642000,207338000,無細項,行政院主管,客家委員會及所屬,客家文化產業發展,文化支出,2.8.4
2014,5303643000,1188927000,無細項,行政院主管,客家委員會及所屬,文化教育推展,文化支出,2.8.5
2014,5303644000,630856000,無細項,行政院主管,客家委員會及所屬,傳播行銷推展,文化支出,2.8.6
2014,5303645000,712175000,無細項,行政院主管,客家委員會及所屬,客家文化發展中心規劃與營運,文化支出,2.8.7
2014,3803670100,86277000,無細項,行政院主管,中央選舉委員會及所屬,一般行政,民政支出,2.9.1
2014,3803671000,37312000,無細項,行政院主管,中央選舉委員會及所屬,選舉業務,民政支出,2.9.2
2014,3803671100,337549000,無細項,行政院主管,中央選舉委員會及所屬,地方選舉委員會行政業務,民政支出,2.9.3
2014,3803671300,616030000,無細項,行政院主管,中央選舉委員會及所屬,政黨競選經費補助,民政支出,2.9.4
2014,3803679000,63000,交通及運輸設備,行政院主管,中央選舉委員會及所屬,一般建築及設備,民政支出,2.9.5.1
2014,3803679800,651000,無細項,行政院主管,中央選舉委員會及所屬,第一預備金,民政支出,2.9.6
2014,3303800100,264639000,無細項,行政院主管,研究發展考核委員會,一般行政,行政支出,2.10.1
2014,3303801000,9808000,無細項,行政院主管,研究發展考核委員會,研究發展,行政支出,2.10.2
2014,3303801100,5373000,無細項,行政院主管,研究發展考核委員會,綜合計畫,行政支出,2.10.3
2014,3303801200,5325000,無細項,行政院主管,研究發展考核委員會,管制考核,行政支出,2.10.4
2014,3303801300,205060000,無細項,行政院主管,研究發展考核委員會,資訊管理,行政支出,2.10.5
2014,3303801600,7418000,無細項,行政院主管,研究發展考核委員會,地方發展,行政支出,2.10.6
2014,3303801700,297981000,無細項,行政院主管,研究發展考核委員會,政府資通訊應用建設,行政支出,2.10.7
2014,3303809000,1885000,營建工程,行政院主管,研究發展考核委員會,一般建築及設備,行政支出,2.10.8.1
2014,3303809800,300000,無細項,行政院主管,研究發展考核委員會,第一預備金,行政支出,2.10.9
2014,5203802100,50615000,無細項,行政院主管,研究發展考核委員會,社會發展政策研究,科學支出,2.10.10
2014,3303810100,159205000,無細項,行政院主管,檔案管理局,一般行政,行政支出,2.11.1
2014,3303811000,2435000,無細項,行政院主管,檔案管理局,檔案管理綜合企劃與管考,行政支出,2.11.2
2014,3303811100,835000,無細項,行政院主管,檔案管理局,檔案徵集作業,行政支出,2.11.3
2014,3303811200,1083000,無細項,行政院主管,檔案管理局,檔案典藏維護,行政支出,2.11.4
2014,3303811300,1901000,無細項,行政院主管,檔案管理局,檔案應用服務,行政支出,2.11.5
2014,3303811400,1714000,無細項,行政院主管,檔案管理局,檔案資訊作業,行政支出,2.11.6
2014,3303811800,127200000,無細項,行政院主管,檔案管理局,文書檔案資訊網路合一計畫,行政支出,2.11.7
2014,3303811900,70773000,無細項,行政院主管,檔案管理局,國家檔案永續典藏與多元服務計畫,行政支出,2.11.8
2014,3303819000,1628000,其他設備,行政院主管,檔案管理局,一般建築及設備,行政支出,2.11.9.1
2014,3303819800,100000,無細項,行政院主管,檔案管理局,第一預備金,行政支出,2.11.10
2014,6103820100,300870000,無細項,行政院主管,公平交易委員會,一般行政,其他經濟服務支出,2.12.1
2014,6103821000,6362000,限制競爭行為調查處理,行政院主管,公平交易委員會,公平交易業務,其他經濟服務支出,2.12.2.1
2014,6103829000,1056000,其他設備,行政院主管,公平交易委員會,一般建築及設備,其他經濟服務支出,2.12.3.1
2014,6103829800,500000,無細項,行政院主管,公平交易委員會,第一預備金,其他經濟服務支出,2.12.4
2014,6003850100,602316000,無細項,行政院主管,國家通訊傳播委員會,一般行政,交通支出,2.13.1
2014,6003859800,78000,無細項,行政院主管,國家通訊傳播委員會,第一預備金,交通支出,2.13.2
2014,3303900100,363970000,無細項,行政院主管,大陸委員會,一般行政,行政支出,2.14.1
2014,3303901000,43638000,無細項,行政院主管,大陸委員會,企劃業務,行政支出,2.14.2
2014,3303901200,43348000,無細項,行政院主管,大陸委員會,經濟業務,行政支出,2.14.3
2014,3303901300,231224000,無細項,行政院主管,大陸委員會,法政業務,行政支出,2.14.4
2014,3303901400,234167000,無細項,行政院主管,大陸委員會,港澳業務,行政支出,2.14.5
2014,3303901500,48232000,無細項,行政院主管,大陸委員會,聯絡業務,行政支出,2.14.6
2014,3303909800,1800000,無細項,行政院主管,大陸委員會,第一預備金,行政支出,2.14.7
2014,5203902100,9662000,無細項,行政院主管,大陸委員會,經濟發展政策研究,科學支出,2.14.8
2014,5303901100,57911000,無細項,行政院主管,大陸委員會,文教業務,文化支出,2.14.9
2014,3303910100,46101000,無細項,行政院主管,飛航安全調查委員會,一般行政,行政支出,2.15.1
2014,3303910200,7674000,無細項,行政院主管,飛航安全調查委員會,飛航安全業務,行政支出,2.15.2
2014,3303919800,50000,無細項,行政院主管,飛航安全調查委員會,第一預備金,行政支出,2.15.3
2014,3303950100,283767000,無細項,行政院主管,公共工程委員會,一般行政,行政支出,2.16.1
2014,3303951000,59107000,無細項,行政院主管,公共工程委員會,公共工程企劃及法規業務,行政支出,2.16.2
2014,3303952000,17415000,無細項,行政院主管,公共工程委員會,公共工程技術業務,行政支出,2.16.3
2014,3303953000,15385000,無細項,行政院主管,公共工程委員會,公共工程管理業務,行政支出,2.16.4
2014,3303959800,3100000,無細項,行政院主管,公共工程委員會,第一預備金,行政支出,2.16.5
2014,3803970100,238686000,無細項,行政院主管,原住民族委員會,一般行政,民政支出,2.17.1
2014,3803970200,79398000,無細項,行政院主管,原住民族委員會,綜合規劃發展,民政支出,2.17.2
